site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
AK-SP-K64, 85.0,12, 15.0,11, 0.0,0, 0.0,0, 0.0,0
AK-SP-K64G, 85.0,12, 15.0,11, 0.0,0, 0.0,0, 0.0,0
AK-BEO, 90.0,12, 10.0,11, 0.0,0, 0.0,0, 0.0,0
AK-BEOG, 90.0,12, 10.0,11, 0.0,0, 0.0,0, 0.0,0
AK-TL, 80.0,12, 20.0,11, 0.0,0, 0.0,0, 0.0,0
AK-CL, 80.0,12, 20.0,11, 0.0,0, 0.0,0, 0.0,0
AK-TFS, 70.0,12, 30.0,11, 0.0,0, 0.0,0, 0.0,0
AK-TFS-IMC, 75.0,12, 25.0,11, 0.0,0, 0.0,0, 0.0,0
AK-TFS-UPK, 75.0,12, 25.0,11, 0.0,0, 0.0,0, 0.0,0
AK-ICP, 90.0,12, 10.0,11, 0.0,0, 0.0,0, 0.0,0
AK-KM64, 85.0,12, 15.0,11, 0.0,0, 0.0,0, 0.0,0
AK-K64G, 85.0,12, 15.0,11, 0.0,0, 0.0,0, 0.0,0
CA-TVC, 75.0,12, 25.0,11, 0.0,0, 0.0,0, 0.0,0
SE-ASRS, 70.0,12, 30.0,11, 0.0,0, 0.0,0, 0.0,0
NO-BS, 85.0,12, 15.0,11, 0.0,0, 0.0,0, 0.0,0
RU-SI, 80.0,12, 20.0,11, 0.0,0, 0.0,0, 0.0,0
