site_code,name,state,lon,lat,elev,startyear,endyear,alignyear
AK-SP-K64,"Kougarok 64 km",AK,-164.633,65.133,250,1950,2023,1851
AK-SP-K64G,"Kougarok 64 km gradient",AK,-164.633,65.133,250,1950,2023,1851
AK-BEO,"Barrow Environmental Observatory",AK,-156.626,71.282,5,1950,2023,1851
AK-BEOG,"Barrow Environmental Observatory gradient",AK,-156.626,71.282,5,1950,2023,1851
AK-TL,"Teller",AK,-166.339,65.240,10,1950,2023,1851
AK-CL,"Council",AK,-163.703,64.844,50,1950,2023,1851
AK-TFS,"Toolik Lake Field Station",AK,-149.598,68.628,760,1950,2023,1851
AK-TFS-IMC,"Imnaviat Creek",AK,-149.297,68.617,927,1950,2023,1851
AK-TFS-UPK,"Upper Kuparuk",AK,-149.405,68.626,760,1950,2023,1851
AK-ICP,"Ice Cut Permafrost",AK,-156.596,71.310,5,1950,2023,1851
AK-KM64,"Kougarok Mile 64",AK,-164.633,65.133,250,1950,2023,1851
AK-K64G,"Kougarok 64 gradient",AK,-164.633,65.133,250,1950,2023,1851
CA-TVC,"Trail Valley Creek",YT,-133.507,68.740,40,1950,2023,1851
SE-ASRS,"Abisko",SE,19.050,68.354,385,1950,2023,1851
NO-BS,"Bayelva",NO,11.832,78.928,15,1950,2023,1851
RU-SI,"Samoylov Island",RU,126.500,72.367,10,1950,2023,1851
