site_code,soil_depth,n_layers,layer_depth,layer_sand%,layer_clay%
AK-SP-K64,-999,1,-999,45.0,15.0
AK-SP-K64G,-999,1,-999,45.0,15.0
AK-BEO,-999,1,-999,50.0,12.0
AK-BEOG,-999,1,-999,50.0,12.0
AK-TL,-999,1,-999,48.0,14.0
AK-CL,-999,1,-999,47.0,14.0
AK-TFS,-999,1,-999,42.0,18.0
AK-TFS-IMC,-999,1,-999,40.0,20.0
AK-TFS-UPK,-999,1,-999,42.0,18.0
AK-ICP,-999,1,-999,50.0,12.0
AK-KM64,-999,1,-999,45.0,15.0
AK-K64G,-999,1,-999,45.0,15.0
CA-TVC,-999,1,-999,43.0,17.0
SE-ASRS,-999,1,-999,40.0,16.0
NO-BS,-999,1,-999,48.0,12.0
RU-SI,-999,1,-999,45.0,14.0
